# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Apr 14 14:17:26 2020
#
# User preference: *
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_name:        Planet Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
#
pl_hostname,pl_name,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_radj,st_teff,st_mass,st_rad,st_lum
HD 192263,HD 192263 b,24.35560000,0.150000,0.050000,0.56000,,4976.00,0.66,0.74,
HD 192310,HD 192310 b,74.72000000,0.320000,0.130000,0.05320,,5166.00,0.80,,-0.415
HD 192310,HD 192310 c,525.80000000,1.180000,0.320000,0.07600,,5166.00,0.80,,-0.415
HD 192699,HD 192699 b,340.94000000,1.063000,0.082000,2.09600,,5041.00,1.38,4.41,
HD 195019,HD 195019 b,18.20132000,0.140000,0.010000,3.98000,,5751.00,1.21,1.48,
HD 196050,HD 196050 b,1378.00000000,2.510000,0.230000,3.18000,,5879.00,1.31,1.42,
HD 196067,HD 196067 b,3638.00000000,5.020000,0.660000,6.90000,,6017.00,1.29,1.73,0.572
HD 196885 A,HD 196885 A b,1333.00000000,2.370000,0.480000,2.58000,,6254.00,1.28,1.31,0.380
HD 197037,HD 197037 b,1035.70000000,2.070000,0.220000,0.79000,,6150.00,1.11,,
HD 19994,HD 19994 b,466.20000000,1.305000,0.063000,1.37000,,6188.00,1.36,,
HD 20003,HD 20003 b,11.84820000,0.097400,0.360000,0.03670,,5494.00,0.88,,-0.143
HD 20003,HD 20003 c,33.92390000,0.196400,0.100000,0.04540,,5494.00,0.88,,-0.143
HD 200964,HD 200964 b,606.30000000,1.565000,0.087000,1.59900,,4982.00,1.39,4.92,
HD 200964,HD 200964 c,852.50000000,1.960000,0.243000,1.21400,,4982.00,1.39,4.92,
HD 202206,HD 202206 c,1260.00000000,2.410000,0.220000,17.90000,,5760.00,1.27,1.03,
HD 202696,HD 202696 b,517.80000000,1.566000,0.011000,1.99600,,5040.00,1.91,6.43,1.369
HD 202696,HD 202696 c,946.60000000,2.342000,0.028000,1.86400,,5040.00,1.91,6.43,1.369
HD 202772 A,HD 202772 A b,3.30895800,0.052080,0.038000,1.01700,1.545,6272.00,1.72,2.59,0.971
HD 203030,HD 203030 b,,487.100000,,24.09000,,,,,
HD 203473,HD 203473 b,1552.90000000,2.730000,0.289000,7.80000,,5780.00,1.12,1.33,0.250
HD 2039,HD 2039 b,1120.00000000,2.200000,0.710000,6.29000,,5945.00,1.23,1.19,
HD 204313,HD 204313 b,1920.09998000,3.070000,0.230000,3.46000,,5783.00,1.03,1.10,
HD 204313,HD 204313 c,34.90500000,0.209900,0.155000,0.05530,,5783.00,1.03,1.10,
HD 204941,HD 204941 b,1733.00000000,2.550000,0.370000,0.23000,,5026.00,0.58,0.78,
HD 205739,HD 205739 b,279.80000000,0.896000,0.270000,1.37000,,6176.00,1.22,1.33,0.360
HD 206255,HD 206255 b,96.04500000,0.461000,0.230000,0.10760,,5635.00,1.42,,
HD 206610,HD 206610 b,673.20000000,1.740000,0.100000,2.03600,,4842.00,1.55,6.12,
HD 20781,HD 20781 b,5.31350000,0.052900,0.100000,0.00610,,5256.00,0.70,,-0.310
HD 20781,HD 20781 c,13.89050000,0.100400,0.090000,0.01680,,5256.00,0.70,,-0.310
HD 20781,HD 20781 d,29.15800000,0.164700,0.110000,0.03340,,5256.00,0.70,,-0.310
HD 20781,HD 20781 e,85.50730000,0.337400,0.060000,0.04420,,5256.00,0.70,,-0.310
HD 20782,HD 20782 b,597.06430000,1.364900,0.950000,1.48780,,5790.00,1.07,1.11,
HD 207832,HD 207832 b,160.07000000,0.586000,0.197000,0.56000,,5726.00,1.05,0.89,-0.110
HD 207832,HD 207832 c,1155.70000000,2.112000,0.270000,0.73000,,5726.00,1.05,0.89,-0.110
HD 20794,HD 20794 b,18.31500000,0.120700,0.000000,0.00850,,5401.00,0.70,,
HD 20794,HD 20794 c,40.11400000,0.203600,0.000000,0.00760,,5401.00,0.70,,
HD 20794,HD 20794 d,90.30900000,0.349900,0.000000,0.01500,,5401.00,0.70,,
HD 20794,HD 20794 e,147.02000000,0.509000,0.290000,0.01501,,5401.00,0.70,,
HD 208487,HD 208487 b,130.08000000,0.524000,0.240000,0.52000,,6067.00,1.13,,
HD 208527,HD 208527 b,875.50000000,2.100000,0.080000,9.90000,,4035.00,1.60,51.10,
HD 20868,HD 20868 b,380.85001000,0.950000,0.750000,1.25000,,4802.00,0.39,0.76,
HD 208897,HD 208897 b,352.70000000,1.050000,0.070000,1.40000,,4860.00,1.25,4.98,1.090
HD 209458,HD 209458 b,3.52474859,,0.000000,0.73000,1.390,6091.00,1.23,1.19,
HD 210193,HD 210193 b,649.91800000,1.487000,0.240000,0.48170,,5790.00,1.04,,
HD 210277,HD 210277 b,442.19000000,1.130000,0.480000,1.29000,,5538.00,1.01,1.07,
HD 210702,HD 210702 b,354.10000000,1.148000,0.028000,1.80800,,4951.00,1.61,4.92,
HD 211810,HD 211810 b,1558.00000000,2.656000,0.680000,0.67000,,5652.00,1.03,1.13,0.070
HD 211970,HD 211970 b,25.20100000,0.143000,0.150000,0.04090,,4127.00,0.61,,
HD 212301,HD 212301 b,2.24571000,0.030000,0.000000,0.51000,,6239.00,1.55,1.16,
HD 212771,HD 212771 b,380.70000000,1.190000,0.076000,2.39000,,5003.00,1.56,5.27,
HD 213240,HD 213240 b,882.70001000,1.890000,0.420000,5.58000,,5979.00,1.57,1.51,
HD 213885,HD 213885 b,1.00803500,0.020120,0.000000,0.02778,0.156,5978.00,1.07,1.10,0.139
HD 213885,HD 213885 c,4.78503000,0.056798,0.000000,0.06277,,5978.00,1.07,1.10,0.139
HD 21411,HD 21411 b,84.28800000,0.362000,0.400000,0.20734,,5605.00,0.89,,
HD 214823,HD 214823 b,1854.40000000,3.230000,0.164100,20.30000,,5933.00,1.31,2.04,0.670
HD 215152,HD 215152 b,5.75999000,0.057638,0.000000,0.00572,,4935.00,0.77,0.73,
HD 215152,HD 215152 c,7.28243000,0.067393,0.000000,0.00541,,4935.00,0.77,0.73,
HD 215152,HD 215152 d,10.86499000,0.087990,0.000000,0.00881,,4935.00,0.77,0.73,
HD 215152,HD 215152 e,25.19670000,0.154170,0.000000,0.00905,,4935.00,0.77,0.73,
HD 215497,HD 215497 b,3.93404000,0.050000,0.160000,0.02000,,5110.00,0.67,0.85,
HD 215497,HD 215497 c,567.94000000,1.282000,0.490000,0.33000,,5110.00,0.67,0.85,
HD 216435,HD 216435 b,1311.00000000,2.560000,0.070000,1.26000,,5999.00,1.30,,
HD 216437,HD 216437 b,1334.28000000,2.497000,0.317000,2.22300,,5909.00,1.17,1.39,
HD 216536,HD 216536 b,148.60001000,0.610000,0.380000,1.05000,,4639.00,0.81,9.83,
HD 216770,HD 216770 b,118.45000000,0.460000,0.370000,0.57000,,5399.00,0.74,0.93,
HD 21693,HD 21693 b,22.67860000,0.145500,0.120000,0.02590,,5430.00,0.80,,-0.208
HD 21693,HD 21693 c,53.73570000,0.258600,0.070000,0.05470,,5430.00,0.80,,-0.208
HD 217107,HD 217107 b,7.12682000,0.080000,0.130000,1.30000,,5622.00,1.00,1.11,
HD 217107,HD 217107 c,4270.00000000,5.320000,0.517000,2.60000,,5622.00,1.00,1.11,
GJ 143,HD 21749 c,7.78993000,0.069500,,0.01164,0.080,4640.00,0.73,0.69,-0.686
HD 217786,HD 217786 b,1319.00000000,2.380000,0.400000,13.00000,,5966.00,1.02,1.27,0.276
HD 217850,HD 217850 b,3501.30000000,4.560000,0.762100,21.60000,,5544.00,1.03,1.21,0.100
HD 218566,HD 218566 b,225.70000000,0.690000,0.300000,0.20000,,4730.00,0.76,0.85,
HD 219077,HD 219077 b,5501.00000000,6.220000,0.770000,10.39000,,5362.00,1.05,1.91,0.425
HD 219134,HD 219134 b,3.09292600,0.038760,0.000000,0.01491,0.143,4699.00,0.81,0.78,-0.577
HD 219134,HD 219134 c,6.76458000,0.065300,0.062000,0.01372,0.135,4699.00,0.81,0.78,-0.577
HD 219134,HD 219134 d,46.85900000,0.237000,0.138000,0.05088,0.144,4699.00,0.81,0.78,-0.577
HD 219134,HD 219134 f,22.71700000,0.146300,0.148000,0.02297,0.117,4699.00,0.81,0.78,-0.577
HD 219134,HD 219134 g,94.20000000,0.375300,0.000000,0.03400,,4699.00,0.81,0.78,-0.577
HD 219134,HD 219134 h,2247.00000000,3.110000,0.060000,0.34000,,4699.00,0.81,0.78,-0.577
HD 219415,HD 219415 b,2093.30000000,3.200000,0.400000,1.00000,,4820.00,1.00,2.90,0.620
HD 219666,HD 219666 b,6.03607000,0.063560,0.000000,0.05223,0.420,5527.00,0.92,1.03,
HD 219828,HD 219828 b,3.83492000,0.050700,0.101000,0.06600,,5807.00,1.18,1.61,0.420
HD 219828,HD 219828 c,4682.00000000,5.790000,0.810200,14.60000,,5807.00,1.18,1.61,0.420
HD 220074,HD 220074 b,672.09998000,1.600000,0.140000,16.64000,,3787.00,2.20,54.92,
HD 220197,HD 220197 b,1728.00000000,2.729000,0.187000,0.20000,,5683.00,0.91,0.98,
HD 220689,HD 220689 b,2266.40000000,3.396000,0.054000,1.11800,,5921.00,1.02,1.07,
HD 220773,HD 220773 b,3724.70000000,4.940000,0.510000,1.45000,,5940.00,1.16,,
HD 220842,HD 220842 b,218.47000000,0.740000,0.404000,3.18000,,5960.00,1.13,,
HD 221287,HD 221287 b,456.10000000,1.250000,0.080000,3.09000,,6304.00,1.25,,0.220
HD 221416,HD 221416 b,14.27670000,0.122800,0.115000,0.19000,0.836,5080.00,1.21,2.94,0.712
HD 221420,HD 221420 b,22482.00000000,18.500000,0.420000,9.70000,,5830.00,1.67,,
HD 221585,HD 221585 b,1173.00000000,2.306000,0.123000,1.61000,,5620.00,1.19,,0.422
HD 222076,HD 222076 b,871.00000000,1.830000,0.080000,1.56000,,4806.00,1.07,4.10,0.929
HD 222155,HD 222155 b,3999.00000000,5.140000,0.160000,2.12000,,5701.00,1.21,1.85,
HD 222582,HD 222582 b,572.38000000,1.340000,0.730000,8.37000,,5790.00,1.12,1.13,
HD 224538,HD 224538 b,1189.10000000,2.280000,0.464000,5.97000,,6097.00,1.34,1.54,0.470
HD 224693,HD 224693 b,26.69040000,0.191000,0.104000,0.70000,,5894.00,1.31,1.93,0.610
HD 22781,HD 22781 b,528.07000000,1.167000,0.819100,13.65000,,5027.00,0.75,,
HD 23079,HD 23079 b,730.59998000,1.600000,0.100000,2.61000,,5974.00,1.12,1.07,
HD 23127,HD 23127 b,1211.17000000,2.370000,0.406000,1.52700,,5843.00,1.21,1.49,
HD 231701,HD 231701 b,141.63000000,0.567000,0.130000,1.13000,,6101.00,1.21,1.53,0.470
HD 233604,HD 233604 b,192.00000000,0.747000,0.050000,6.57500,,4791.00,1.50,10.90,1.750
HD 233832,HD 233832 b,2058.00000000,2.827000,0.359000,1.78000,,4981.00,0.71,0.68,
HD 23472,HD 23472 b,17.66700000,0.121000,0.000000,0.05638,,,0.75,0.73,-0.636
HD 23472,HD 23472 c,29.62500000,0.170000,0.000000,0.05405,,,0.75,0.73,-0.636
HD 23596,HD 23596 b,1561.00000000,2.770000,0.270000,9.03000,,6040.00,1.47,1.53,
HD 238914,HD 238914 b,4100.00000000,5.700000,0.560000,6.00000,,4769.00,1.47,12.73,1.850
HD 240210,HD 240210 b,501.75000000,1.160000,0.150000,5.21000,,4297.00,0.82,,1.550
HD 240237,HD 240237 b,745.70001000,1.920000,0.400000,15.89000,,3926.00,8.76,71.23,
HD 24040,HD 24040 b,3668.00000000,4.920000,0.040000,3.86000,,5802.00,1.11,1.30,
HD 24064,HD 24064 b,535.59998000,1.290000,0.350000,12.89000,,4052.00,1.61,40.00,
HD 24085,HD 24085 b,2.04550000,0.034000,0.220000,0.03713,,6034.00,1.22,,
HD 25015,HD 25015 b,6019.32000000,6.190000,0.390000,4.48000,,5160.00,0.86,0.83,
HD 25171,HD 25171 b,1802.29000000,2.971000,0.042000,0.91500,,6125.00,1.08,1.23,
HD 2638,HD 2638 b,3.44420000,0.040000,0.000000,0.42000,,5186.00,0.77,0.94,
HD 2685,HD 2685 b,4.12688000,0.056800,0.091000,1.17000,1.440,6801.00,1.43,1.56,0.668
HD 26965,HD 26965 b,42.37800000,,0.040000,0.02665,,5072.00,0.78,0.87,
HD 27442,HD 27442 b,428.10000000,1.271000,0.060000,1.56000,,4846.00,1.23,,
HD 27631,HD 27631 b,2198.14000000,3.242000,0.141000,1.49400,,5737.00,0.94,0.92,
HD 27894,HD 27894 b,18.02000000,0.125000,0.047000,0.66500,,,0.80,,
HD 27894,HD 27894 c,36.07000000,0.198000,0.015000,0.16200,,,0.80,,
HD 27894,HD 27894 d,5174.00000000,5.448000,0.389000,5.41500,,,0.80,,
HD 28185,HD 28185 b,379.00000000,1.020000,0.050000,5.90000,,5662.00,1.02,1.03,
HD 28254,HD 28254 b,1116.00000000,2.150000,0.810000,1.16000,,5664.00,1.06,1.48,0.340
HD 285507,HD 285507 b,6.08810000,0.060000,0.090000,0.98000,,4503.00,0.82,0.69,
HD 285968,HD 285968 b,8.78360000,0.066000,0.000000,0.02600,,3679.00,0.45,0.45,-1.472
HD 28678,HD 28678 b,380.20000000,1.180000,0.149000,1.54200,,4972.00,1.53,6.48,
HD 29021,HD 29021 b,1362.30000000,2.280000,0.459000,2.40000,,5560.00,0.85,0.85,
HD 290327,HD 290327 b,2443.00000000,3.430000,0.080000,2.43000,,5505.00,0.84,0.95,
HD 2952,HD 2952 b,311.60001000,1.230000,0.130000,1.37000,,4844.00,1.97,10.76,
HD 30177,HD 30177 b,2527.83000000,3.704000,0.162000,8.62200,,5607.00,1.05,1.02,
HD 30177,HD 30177 c,11613.00000000,9.890000,0.220000,7.60000,,5607.00,1.05,1.02,
HD 30562,HD 30562 b,1157.00000000,2.340000,0.760000,1.22000,,5882.00,1.12,1.61,
HD 30669,HD 30669 b,1684.00000000,2.690000,0.180000,0.47000,,5400.00,0.92,0.91,
HD 30856,HD 30856 b,847.00000000,1.850000,0.061000,1.54700,,4895.00,1.17,4.40,
HD 31253,HD 31253 b,466.00000000,1.260000,0.300000,0.62000,,6130.00,1.70,1.75,
HD 31527,HD 31527 b,16.55350000,0.125400,0.100000,0.03290,,5898.00,0.96,,0.079
HD 31527,HD 31527 c,51.20530000,0.266300,0.040000,0.04450,,5898.00,0.96,,0.079
HD 31527,HD 31527 d,271.67370000,0.809800,0.240000,0.03720,,5898.00,0.96,,0.079
HD 3167,HD 3167 b,0.95962400,0.018600,,,0.152,5528.00,0.94,0.87,
HD 3167,HD 3167 c,29.83832000,0.184100,,,0.255,5528.00,0.94,0.87,
HD 3167,HD 3167 d,8.50900000,0.077570,0.360000,0.02171,,5528.00,0.94,0.87,
HD 32518,HD 32518 b,157.54000000,0.590000,0.010000,3.04000,,4580.00,1.13,10.22,
HD 32963,HD 32963 b,2372.00000000,3.410000,0.070000,0.70000,,5727.00,0.94,,
HD 330075,HD 330075 b,3.38773000,0.040000,0.000000,0.48000,,5000.00,0.47,0.84,
HD 33142,HD 33142 b,326.00000000,1.070000,0.066000,1.38500,,4978.00,1.41,4.45,
HD 33142,HD 33142 c,834.00000000,,0.050000,5.97000,,4978.00,1.41,4.45,
HD 33283,HD 33283 b,18.19910000,0.150800,0.399000,0.32900,,5935.00,1.38,1.97,0.640
HD 33564,HD 33564 b,388.00000000,1.100000,0.340000,9.10000,,6250.00,1.25,,
HD 33844,HD 33844 b,551.40002000,1.600000,0.150000,2.01000,,4861.00,1.84,5.39,
HD 33844,HD 33844 c,916.00000000,2.240000,0.130000,1.75000,,4861.00,1.84,5.39,
HD 34445,HD 34445 b,1049.00000000,2.070000,0.270000,0.82000,,5879.00,1.14,1.38,
HD 34445,HD 34445 c,214.67000000,0.718100,0.036000,0.16800,,5879.00,1.14,1.38,
HD 34445,HD 34445 d,117.87000000,0.481700,0.027000,0.09700,,5879.00,1.14,1.38,
HD 34445,HD 34445 e,49.17500000,0.268700,0.090000,0.05290,,5879.00,1.14,1.38,
HD 34445,HD 34445 f,676.80000000,1.543000,0.031000,0.11900,,5879.00,1.14,1.38,
HD 34445,HD 34445 g,5700.00000000,6.360000,0.032000,0.38000,,5879.00,1.14,1.38,
HD 35759,HD 35759 b,82.46700000,0.389000,0.389000,3.76000,,6060.00,1.15,,
HD 3651,HD 3651 b,62.25000000,0.295000,0.645000,0.22800,,5221.00,0.80,,
HD 37124,HD 37124 b,154.37800000,0.533640,0.054000,0.67500,,,0.85,,
HD 37124,HD 37124 c,885.50000000,1.710000,0.125000,0.65200,,,0.85,,
HD 37124,HD 37124 d,1862.00000000,2.807000,0.160000,0.69600,,,0.85,,
HD 37605,HD 37605 b,55.01292000,0.277000,0.674500,2.69000,,5329.00,0.94,0.91,-0.220
HD 37605,HD 37605 c,2720.00000000,3.740000,0.030000,3.19000,,5329.00,0.94,0.91,-0.220
HD 38283,HD 38283 b,363.20001000,1.020000,0.410000,0.40000,,5981.00,1.37,1.49,
HD 38529,HD 38529 b,14.30944000,0.129400,0.280000,0.79700,,5541.00,1.41,2.56,
HD 38529,HD 38529 c,2136.10000000,3.640000,0.340700,12.99000,,5541.00,1.41,2.56,
HD 38801,HD 38801 b,685.25000000,1.623000,0.017000,9.69800,,5338.00,1.21,2.03,
HD 39091,HD 39091 b,2093.07000000,3.100000,0.637000,10.02000,,6037.00,1.09,1.10,0.160
HD 39855,HD 39855 b,3.24980000,0.041000,0.140000,0.02674,,5576.00,0.87,,
HD 40307,HD 40307 b,4.31230000,0.046800,0.200000,0.01260,,4956.00,0.77,,-0.639
HD 40307,HD 40307 c,9.61840000,0.079900,0.060000,0.02080,,4956.00,0.77,,-0.639
HD 40307,HD 40307 d,20.43200000,0.132100,0.070000,0.02990,,4956.00,0.77,,-0.639
HD 40307,HD 40307 f,51.76000000,0.247000,0.020000,0.01640,,4956.00,0.77,,-0.639
HD 40307,HD 40307 g,197.80000000,0.600000,0.290000,0.02230,,4956.00,0.77,,-0.639
HD 40956,HD 40956 b,578.60000000,1.400000,0.240000,2.70000,,4869.00,2.00,8.56,1.664
HD 40979,HD 40979 b,264.14999000,0.850000,0.250000,4.67000,,6165.00,1.45,1.21,
HD 41004 A,HD 41004 A b,963.00000000,,0.740000,2.54000,,5010.00,0.70,,-0.187
HD 41004 B,HD 41004 B b,1.32830000,,0.081000,18.37000,,,0.40,,
HD 4113,HD 4113 b,526.62000000,1.280000,0.903000,1.56000,,5688.00,0.99,,0.086
HD 42012,HD 42012 b,857.50000000,1.670000,0.200000,1.60000,,5405.00,0.83,0.82,
HD 4203,HD 4203 b,431.88000000,1.170000,0.520000,2.23000,,5596.00,1.25,1.42,
HD 4203,HD 4203 c,6700.00000000,6.950000,0.240000,2.17000,,5596.00,1.25,1.42,
HD 4208,HD 4208 b,832.97000000,1.662000,0.042000,0.81000,,5717.00,0.88,0.85,
HD 42618,HD 42618 b,149.61000000,0.554000,0.190000,0.04531,,5727.00,1.01,1.00,-0.009
HD 4308,HD 4308 b,15.56000000,0.120000,0.000000,0.05000,,5686.00,0.93,1.02,
HD 4313,HD 4313 b,356.21000000,1.157000,0.147000,1.92700,,4943.00,1.63,5.14,
HD 43197,HD 43197 b,327.80000000,0.920000,0.830000,0.60000,,5508.00,0.96,1.00,-0.137
HD 43691,HD 43691 b,36.99870000,0.238000,0.079600,2.55000,,6093.00,1.32,1.60,0.500
HD 44219,HD 44219 b,472.30000000,1.190000,0.610000,0.58000,,5752.00,1.00,1.32,0.260
HD 45184,HD 45184 b,5.88540000,0.064400,0.070000,0.03840,,5869.00,1.03,,0.053
HD 45184,HD 45184 c,13.13540000,0.110000,0.070000,0.02770,,5869.00,1.03,,0.053
HD 45350,HD 45350 b,963.60000000,1.920000,0.778000,1.79000,,5616.00,1.02,,
HD 45364,HD 45364 b,226.93000000,0.681300,0.168400,0.18720,,5434.00,0.82,,-0.244
HD 45364,HD 45364 c,342.85000000,0.897200,0.097400,0.65790,,5434.00,0.82,,-0.244
HD 45652,HD 45652 b,44.07300000,0.237000,0.607000,0.43300,,5294.00,0.92,0.94,-0.200
HD 46375,HD 46375 b,3.02357300,0.039800,0.063000,0.22600,,5285.00,0.92,,
HD 47186,HD 47186 b,4.08450000,0.050000,0.040000,0.07000,,5657.00,0.96,1.08,
HD 47186,HD 47186 c,1353.60000000,2.395000,0.249000,0.35061,,5657.00,0.96,1.08,
HD 4732,HD 4732 b,360.20000000,1.190000,0.130000,2.37000,,4959.00,1.74,5.40,1.190
HD 4732,HD 4732 c,2732.00000000,4.600000,0.230000,2.37000,,4959.00,1.74,5.40,1.190
HD 47366,HD 47366 b,359.15000000,1.280000,0.060000,2.30000,,4914.00,2.19,6.20,1.389
HD 47366,HD 47366 c,682.85000000,1.970000,0.100000,1.88000,,4914.00,2.19,6.20,1.389
HD 47536,HD 47536 b,712.13000000,1.930000,0.200000,7.32000,,4424.00,0.91,22.39,2.270
HD 48265,HD 48265 b,778.51000000,1.814000,0.211000,1.52500,,5733.00,1.31,1.90,
HD 4917,HD 4917 b,400.50000000,1.167000,0.066000,1.61500,,4802.00,1.32,5.01,
HD 49674,HD 49674 b,4.94737000,0.060000,0.090000,0.10000,,5602.00,1.03,1.02,
HD 50499,HD 50499 b,2447.10000000,3.833000,0.266000,1.63600,,6102.00,1.25,1.35,
HD 50499,HD 50499 c,8619.90000000,9.020000,0.000000,2.93000,,6102.00,1.25,1.35,
HD 50554,HD 50554 b,1293.00000000,2.353000,0.501000,4.95400,,5987.00,1.04,1.02,0.143
HD 51608,HD 51608 b,14.07260000,0.105900,0.090000,0.04020,,5358.00,0.80,,-0.244
HD 51608,HD 51608 c,95.94460000,0.380900,0.140000,0.04500,,5358.00,0.80,,-0.244
HD 52265,HD 52265 b,119.27000000,0.520000,0.270000,1.21000,,6136.00,1.20,,
HD 5319,HD 5319 b,637.10000000,1.570000,0.092000,1.55600,,4871.00,1.27,4.06,
HD 5319,HD 5319 c,872.20000000,1.930000,0.183000,1.05300,,4871.00,1.27,4.06,
HD 55696,HD 55696 b,1827.00000000,3.180000,0.705000,3.87000,,6012.00,1.29,1.52,0.430
HD 5583,HD 5583 b,139.35000000,0.530000,0.076000,5.78000,,4830.00,1.01,9.09,1.610
HD 5608,HD 5608 b,779.90000000,1.911000,0.056000,1.68100,,4877.00,1.53,5.14,
HD 564,HD 564 b,492.30000000,1.200000,0.096000,0.33000,,5902.00,0.96,1.01,
HD 5891,HD 5891 b,177.11000000,0.640000,0.070000,7.63000,,4673.00,1.93,10.64,
HD 59686 A,HD 59686 A b,299.36000000,1.086000,0.050000,6.92000,,4658.00,1.90,13.20,
HD 60532,HD 60532 b,201.90000000,0.770000,0.260000,1.06000,,6245.00,1.50,2.57,
HD 60532,HD 60532 c,600.10000000,1.600000,0.030000,2.51000,,6245.00,1.50,2.57,
HD 62509,HD 62509 b,589.64000000,1.640000,0.020000,2.30000,,4946.00,2.10,8.31,1.590
HD 63454,HD 63454 b,2.81805000,0.040000,0.000000,0.25000,,4812.00,0.42,0.77,
HD 63765,HD 63765 b,358.00000000,0.940000,0.240000,0.53000,,5449.00,0.65,0.83,
HD 64114,HD 64114 b,45.79100000,0.246000,0.120000,0.05600,,5676.00,0.95,,
HD 6434,HD 6434 b,21.99800000,0.140000,0.170000,0.49000,,5769.00,1.10,1.12,
HD 65216,HD 65216 b,577.60000000,1.301000,0.270000,1.29500,,5612.00,0.87,,
HD 65216,HD 65216 c,5370.00000000,5.750000,0.170000,2.03000,,5612.00,0.87,,
HD 66141,HD 66141 b,480.50000000,1.200000,0.070000,6.00000,,4323.00,1.10,21.40,2.240
HD 66428,HD 66428 b,2263.12000000,3.467000,0.493000,3.20400,,5773.00,1.08,1.10,
HD 67087,HD 67087 b,352.20000000,1.080000,0.170000,3.06000,,6330.00,1.36,1.55,0.540
HD 67087,HD 67087 c,2374.00000000,3.860000,0.760000,4.85000,,6330.00,1.36,1.55,0.540
HD 6718,HD 6718 b,2496.00000000,3.550000,0.100000,1.68000,,5801.00,1.08,0.95,
HD 68402,HD 68402 b,1103.00000000,2.180000,0.030000,3.07000,,5950.00,1.12,1.02,0.068
HD 68988,HD 68988 b,6.27711000,0.070000,0.120000,1.97000,,5932.00,1.28,1.19,
HD 69830,HD 69830 b,8.66700000,0.078500,0.100000,0.03210,,5385.00,0.86,,-0.220
HD 69830,HD 69830 c,31.56000000,0.186000,0.130000,0.03710,,5385.00,0.86,,-0.220
HD 69830,HD 69830 d,197.00000000,0.630000,0.070000,0.05700,,5385.00,0.86,,-0.220
HD 70573,HD 70573 b,851.80000000,1.760000,0.400000,6.10000,,5737.00,1.00,,
HD 70642,HD 70642 b,2124.54000000,3.318000,0.175000,1.99300,,5732.00,1.08,0.98,
HD 7199,HD 7199 b,615.00000000,1.360000,0.190000,0.27000,,5371.00,0.77,0.97,
HD 72490,HD 72490 b,858.00000000,1.880000,0.124000,1.76800,,4934.00,1.21,4.96,
HD 72659,HD 72659 b,3658.00000000,4.750000,0.220000,3.85000,,5932.00,1.43,1.46,
HD 72892,HD 72892 b,39.47500000,0.228000,0.423000,5.45000,,5688.00,1.02,1.22,0.146
HD 73267,HD 73267 b,1245.36000000,2.187000,0.230000,3.09700,,5387.00,0.90,0.91,
HD 73526,HD 73526 b,188.30000000,0.650000,0.190000,3.08000,,5601.00,1.14,1.53,
HD 73526,HD 73526 c,379.10000000,1.030000,0.280000,2.25000,,5601.00,1.14,1.53,
HD 73534,HD 73534 b,1750.00000000,2.990000,0.126000,1.11200,,4917.00,1.16,2.58,
HD 74156,HD 74156 b,51.64500000,0.292000,0.627000,1.80000,,6068.00,1.24,,
HD 74156,HD 74156 c,2473.00000000,3.850000,0.432000,8.06000,,6068.00,1.24,,
HD 7449,HD 7449 b,1255.50000000,2.380000,0.920000,0.50800,,6024.00,1.05,,
HD 75289,HD 75289 b,3.50927000,0.050000,0.030000,0.49000,,6117.00,1.29,1.23,
HD 75784,HD 75784 b,341.20000000,1.032000,0.097000,1.00000,,4867.00,1.26,3.40,
HD 75784,HD 75784 c,7900.00000000,8.400000,0.489000,5.64000,,4867.00,1.26,3.40,
HD 75898,HD 75898 b,422.90000000,1.191000,0.110000,2.71000,,5963.00,1.26,1.58,0.460
HD 76700,HD 76700 b,3.97097000,0.050000,0.090000,0.21000,,5644.00,0.99,1.37,
HD 76920,HD 76920 b,415.40000000,1.149000,0.856000,3.93000,,4698.00,1.17,7.47,1.380
HD 77338,HD 77338 b,5.73610000,0.060000,0.090000,0.06000,,5341.00,1.37,0.97,
HD 7924,HD 7924 b,5.39792000,0.060000,0.060000,0.02000,,5131.00,0.65,0.78,
HD 7924,HD 7924 c,15.29900000,0.113400,0.098000,0.02473,,5131.00,0.65,0.78,
HD 7924,HD 7924 d,24.45100000,0.155100,0.210000,0.02026,,5131.00,0.65,0.78,
HD 79498,HD 79498 b,1807.00000000,2.980000,0.575000,1.34000,,5748.00,1.08,1.05,0.030
HD 80606,HD 80606 b,111.43670000,,0.930000,4.38000,1.070,5561.00,1.15,1.04,
HD 80653,HD 80653 b,0.71957300,0.016600,,0.01762,0.144,,1.18,1.22,0.240
HD 81040,HD 81040 b,1001.70001000,1.940000,0.530000,7.27000,,5755.00,1.05,0.91,
